product_name,product_name_en,product_id,category,model,cf_value,cf_unit,quality_score,data_year,functional_unit
玉米油,corn oil,23999X0082017B,,玉米油,0.71,kgCO2e,5,2017,kg
PVC管道,PVC pipe,88520X0012022B,,PVC管道,2340.77,kgCO2e,5,2022,公吨
大型飞机航空客运（平均）,Large aircraft air passenger transport (average),64243X0012022A,,,31.7,kgCO2e,4,2022,千米
中型飞机航空客运（平均）,Medium aircraft air passenger transport (average),64241X0042022A,,,16.2,kgCO2e,4,2022,千米
小型飞机航空客运（平均）,Small aircraft air passenger transport (average),64241X0032022A,,,8.5,kgCO2e,4,2022,千米
球团矿,pellet,41116A0012022B,,无,0.16,kgCO2e,4,2022,kg
化学吸收法二氧化碳捕集,Chemical absorption carbon dioxide capture,10214A0012018A,,,407.9,kgCO2e,4,2018,公吨
PET bottle 3 1000mL,PET bottle 3 1000mL,36490X0012019B,,PET bottle 3 1000mL,121.85,kgCO2e,4,2019,1000L
TBA Slim HC 23 1000mL,TBA Slim HC 23 1000mL,36490X0022019B,,TBA Slim HC 23 1000mL,68.07,kgCO2e,4,2019,1000L
TR MiniPlus TC 34 1000mL,TR MiniPlus TC 34 1000mL,36490X0032019B,,TR MiniPlus TC 34 1000mL,84.15,kgCO2e,4,2019,1000L
TBA Base Straw 200mL,TBA Base Straw 200mL,36490X0042019B,,TBA Base Straw 200mL,93.98,kgCO2e,4,2019,1000L
TPA DC 26 330mL,TPA DC 26 330mL,36490X0052019B,,TPA DC 26 330mL,132.63,kgCO2e,4,2019,1000L
SUP 1 200mL,SUP 1 200mL,36490X0062019B,,SUP 1 200mL,183.4,kgCO2e,4,2019,1000L
Glass bottle 3 250mL,Glass bottle 3 250mL,37191X0012019B,,Glass bottle 3 250mL,590.97,kgCO2e,4,2019,1000L
Glass bottle 3 250mL,Glass bottle 3 250mL,37191X0022019B,,Glass bottle 3 250mL,584.46,kgCO2e,4,2019,1000L
