activity_name,product_name,geography,time_period,sector,unit,cas_number
[sulfonyl]urea-compound production,[sulfonyl]urea-compound,RER,2000 - 2025,Chemicals; Agriculture & Animal Husbandry,kg,
[sulfonyl]urea-compound production,[sulfonyl]urea-compound,RoW,2000 - 2025,Chemicals; Agriculture & Animal Husbandry,kg,
[thio]carbamate-compound production,[thio]carbamate-compound,RER,2000 - 2025,Chemicals; Agriculture & Animal Husbandry,kg,
[thio]carbamate-compound production,[thio]carbamate-compound,RoW,2000 - 2025,Chemicals; Agriculture & Animal Husbandry,kg,
"1,1,1-trichloroethane production, vinyl chloride chlorination","1,1,1-trichloroethane",GLO,2015 - 2025,Chemicals,kg,71-55-6
"1,1,2-trichloroethane production, vinyl chloride chlorination","1,1,2-trichloroethane",GLO,2015 - 2025,Chemicals,kg,79-00-5
"1,1-difluoroethane production","1,1-difluoroethane",RoW,2005 - 2025,Chemicals,kg,75-37-6
"1,1-difluoroethane production","1,1-difluoroethane",US,2005 - 2025,Chemicals,kg,75-37-6
"1,1-dimethylcyclopentane to generic market for solvent, organic","solvent, organic",GLO,2012 - 2025,Chemicals,kg,
"1,3-dichloropropene to generic market for pesticide, unspecified","pesticide, unspecified",GLO,2012 - 2025,Chemicals; Agriculture & Animal Husbandry,kg,
"1,4-butanediol production","1,4-butanediol",RER,1989 - 2025,Chemicals,kg,110-63-4
"1,4-butanediol production","1,4-butanediol",RoW,1989 - 2025,Chemicals,kg,110-63-4
"1-chloro-1,1-difluoroethane production, 1,1,1-trichloroethane fluorination","hydrochloric acid, without water, in 30% solution state",GLO,2015 - 2025,Chemicals,kg,7647-01-0
"1-chloro-1,1-difluoroethane production, 1,1,1-trichloroethane fluorination","1-chloro-1,1-difluoroethane",GLO,2015 - 2025,Chemicals,kg,75-68-3
"1-chloro-1,1-difluoroethane production, vinylidene chloride fluorination","hydrochloric acid, without water, in 30% solution state",GLO,2015 - 2025,Chemicals,kg,7647-01-0
"1-chloro-1,1-difluoroethane production, vinylidene chloride fluorination","1-chloro-1,1-difluoroethane",GLO,2015 - 2025,Chemicals,kg,75-68-3
1-methoxy-2-propanol production,1-methoxy-2-propanol,GLO,2020 - 2025,Chemicals,kg,000107-98-2
1-methylcyclopropene production,1-methylcyclopropene,GLO,2020 - 2025,Chemicals,kg,003100-04-7
1-methylcyclopropene production,"sodium chloride, powder",GLO,2020 - 2025,Chemicals,kg,7647-14-5
1-naphthylacetic acid production,1-naphthylacetic acid,GLO,2020 - 2025,Chemicals,kg,000086-87-3
1-propanol production,1-propanol,RER,1998 - 2025,Chemicals; Fuels,kg,71-23-8
1-propanol production,1-propanol,RoW,1998 - 2025,Chemicals; Fuels,kg,71-23-8
"2,3-dimethylbutane to generic market for solvent, organic","solvent, organic",GLO,2012 - 2025,Chemicals,kg,
"2,4-dichlorophenol production","2,4-dichlorophenol",RER,2010 - 2025,Chemicals,kg,000120-83-2
"2,4-dichlorophenol production","2,4-dichlorophenol",RoW,2010 - 2025,Chemicals,kg,000120-83-2
