category_path,emission_type,fuel_type,factor_value,unit_cn,source
农、林、牧、渔业 > 畜禽养殖企业 > 燃料燃烧 > 化石燃料燃烧 > 煤炭 > 二氧化碳,二氧化碳,无烟煤,98.3,因子  (tCO₂/TJ),"数据来源于《2006年IPCC清单指南》
"
农、林、牧、渔业 > 畜禽养殖企业 > 燃料燃烧 > 化石燃料燃烧 > 煤炭 > 二氧化碳,二氧化碳,炼焦烟煤,94.6,因子  (tCO₂/TJ),数据来源于《2006年IPCC清单指南》
农、林、牧、渔业 > 畜禽养殖企业 > 燃料燃烧 > 化石燃料燃烧 > 煤炭 > 二氧化碳,二氧化碳,一般烟煤,94.6,因子  (tCO₂/TJ),数据来源于《2006年IPCC清单指南》
农、林、牧、渔业 > 畜禽养殖企业 > 燃料燃烧 > 化石燃料燃烧 > 煤炭 > 二氧化碳,二氧化碳,褐煤,101.2,因子  (tCO₂/TJ),数据来源于《2006年IPCC清单指南》
农、林、牧、渔业 > 畜禽养殖企业 > 燃料燃烧 > 化石燃料燃烧 > 煤炭 > 二氧化碳,二氧化碳,煤制品,97.5,因子  (tCO₂/TJ),数据来源于《2006年IPCC清单指南》
农、林、牧、渔业 > 畜禽养殖企业 > 燃料燃烧 > 化石燃料燃烧 > 煤炭 > 二氧化碳,二氧化碳,焦炭,107.1,因子  (tCO₂/TJ),数据来源于《2006年IPCC清单指南》
农、林、牧、渔业 > 畜禽养殖企业 > 燃料燃烧 > 化石燃料燃烧 > 煤炭 > 二氧化碳,二氧化碳,焦炉煤气,44.4,因子  (tCO₂/TJ),数据来源于《2006年IPCC清单指南》
农、林、牧、渔业 > 畜禽养殖企业 > 燃料燃烧 > 化石燃料燃烧 > 煤炭 > 二氧化碳,二氧化碳,高炉煤气,259.6,因子  (tCO₂/TJ),数据来源于《2006年IPCC清单指南》
农、林、牧、渔业 > 畜禽养殖企业 > 燃料燃烧 > 化石燃料燃烧 > 煤炭 > 二氧化碳,二氧化碳,转炉煤气,181.9,因子  (tCO₂/TJ),数据来源于《2006年IPCC清单指南》
农、林、牧、渔业 > 畜禽养殖企业 > 燃料燃烧 > 化石燃料燃烧 > 煤炭 > 二氧化碳,二氧化碳,其他煤气,44.4,因子  (tCO₂/TJ),数据来源于《2006年IPCC清单指南》
农、林、牧、渔业 > 畜禽养殖企业 > 燃料燃烧 > 化石燃料燃烧 > 煤炭 > 甲烷,甲烷,无烟煤,300,因子 (kgCH₄/TJ),数据来源于《2006年IPCC清单指南》
